RestaurantID,RestaurantName,Description,LogoImage,BusinessStatus,DeliveryFee,MinimumOrderAmount,DeliveryArea,AverageRating
87,Cruz Inc,Fully-configurable local definition,https://placekitten.com/416/271,Open,7.1,45.51,Smithhaven,5.0
88,Russell Barton and Anderson,Synergized zero tolerance frame,https://picsum.photos/42/389,Resting,5.36,36.39,East Ashleyhaven,3.6
89,Frost Richardson and Woods,Re-engineered modular alliance,https://picsum.photos/467/886,Closed,5.69,28.1,Dylanmouth,4.8
90,Rose and Sons,Compatible impactful success,https://dummyimage.com/692x870,Resting,5.58,39.86,West Brent,3.1
91,Lee Inc,Innovative clear-thinking emulation,https://dummyimage.com/747x692,Closed,3.5,44.3,Susanborough,4.0
92,Wells and Sons,Intuitive methodical data-warehouse,https://placekitten.com/77/283,Closed,6.03,31.37,Thomasberg,3.3
93,Davis Group,Horizontal upward-trending secured line,https://dummyimage.com/316x366,Resting,7.89,58.91,North John,3.5
94,Anderson Inc,Virtual leadingedge project,https://dummyimage.com/224x465,Open,5.52,29.69,Cowanhaven,3.0
95,Roberts-Taylor,Upgradable tangible challenge,https://dummyimage.com/13x734,Resting,2.92,17.22,East Scott,4.5
96,Walker-Kennedy,Right-sized homogeneous focus group,https://dummyimage.com/116x180,Resting,2.65,54.48,Port Lanceside,4.3
97,Kirby and Sons,Future-proofed zero tolerance extranet,https://placekitten.com/390/559,Closed,9.55,38.7,Kristaborough,4.3
98,Clark-Garcia,Open-architected asymmetric hierarchy,https://dummyimage.com/641x933,Open,7.36,44.81,Cobbville,4.3
99,Levine-Snow,Stand-alone optimal strategy,https://dummyimage.com/162x479,Resting,4.42,28.2,Bethanybury,3.1
100,Olson PLC,Upgradable upward-trending software,https://picsum.photos/856/330,Open,7.38,39.29,Mariomouth,4.4
101,Williams-Miller,Organized executive framework,https://dummyimage.com/587x569,Closed,7.19,29.12,Angelachester,3.7
102,Howell Ltd,Optimized 6thgeneration Graphic Interface,https://placekitten.com/988/461,Open,6.98,50.68,North Christine,3.5
103,Parker Group,Universal bottom-line access,https://dummyimage.com/896x38,Closed,3.21,30.73,New Jason,4.2
104,Newman Inc,Right-sized needs-based frame,https://placekitten.com/468/495,Closed,3.57,57.08,Lake Kevin,4.6
105,Griffin Miranda and Owens,Reactive contextually-based hardware,https://placekitten.com/550/429,Resting,2.4,22.18,East Ralph,4.6
106,Luna PLC,Advanced high-level intranet,https://dummyimage.com/996x834,Resting,4.11,17.42,West Adam,3.4
107,Hughes Martinez and Williams,Customizable 6thgeneration productivity,https://placekitten.com/681/203,Open,3.07,15.6,Coreyland,3.7
108,Molina LLC,Streamlined bottom-line time-frame,https://dummyimage.com/704x665,Closed,9.25,20.62,New Brian,4.7
109,Black-Shaw,Open-source multi-tasking migration,https://dummyimage.com/310x465,Closed,4.62,48.11,Smithstad,4.2
110,Huff Swanson and Montoya,Networked clear-thinking software,https://picsum.photos/70/711,Resting,5.31,43.21,Port Pamelaville,3.9
111,Lawson-Young,Reactive incremental support,https://dummyimage.com/802x914,Open,8.69,37.88,West Adam,4.4
112,Petty Cole and Hayes,Multi-layered context-sensitive synergy,https://dummyimage.com/430x927,Closed,5.96,32.83,North Kristinamouth,3.9
113,George-Bentley,Reduced motivating intranet,https://placekitten.com/816/321,Open,9.4,53.17,West Nancystad,4.9
114,Adkins Inc,Configurable real-time Graphical User Interface,https://dummyimage.com/121x135,Resting,7.12,51.77,South Marissa,4.9
115,Graham Chen and Hayes,Upgradable needs-based synergy,https://picsum.photos/716/259,Open,4.96,53.98,West Shaun,4.7
116,Davis and Sons,Function-based systemic access,https://dummyimage.com/363x684,Open,4.62,50.67,New Mariaview,4.2
117,Jones-Martinez,Persistent client-driven challenge,https://picsum.photos/1001/823,Closed,8.88,50.09,Lake Christopher,4.9
118,Herrera PLC,Ameliorated incremental circuit,https://placekitten.com/588/503,Closed,7.14,47.58,Jefferyburgh,3.8
119,Davidson and Sons,Profit-focused value-added Graphical User Interface,https://placekitten.com/311/1001,Resting,4.06,20.03,Shelbyshire,3.5
120,Kennedy Mccormick and Griffith,Synchronized eco-centric knowledgebase,https://picsum.photos/34/261,Resting,9.21,47.2,Gregoryview,4.8
121,Scott Ltd,Sharable methodical application,https://placekitten.com/176/610,Open,8.03,23.5,South Karen,4.6
122,Newman-Brewer,Automated real-time Graphical User Interface,https://picsum.photos/115/188,Closed,2.48,30.04,Nathanfurt,5.0
123,Jackson Inc,Triple-buffered web-enabled success,https://placekitten.com/952/426,Open,9.16,27.31,South Kristopherfort,3.2
124,Joyce Mahoney and Stewart,Digitized radical pricing structure,https://picsum.photos/239/871,Open,4.0,55.51,Scottside,5.0
125,Luna Rogers and Robinson,Proactive 5thgeneration infrastructure,https://placekitten.com/484/209,Open,6.19,40.14,Lake Mitchell,3.2
126,Davis Dawson and Carr,Ameliorated hybrid collaboration,https://picsum.photos/317/525,Closed,8.27,51.37,Michaelton,4.2
127,Garcia Ltd,Fully-configurable holistic conglomeration,https://dummyimage.com/69x829,Resting,5.47,42.95,South Justinburgh,3.5
128,Dickerson Rosales and Wolfe,Profit-focused well-modulated throughput,https://dummyimage.com/305x795,Open,7.41,21.39,East Sierraberg,4.7
129,Ball Johnson and Whitney,Streamlined user-facing capacity,https://picsum.photos/128/82,Closed,6.37,35.72,New Rachael,4.8
130,Boyer Allen and Wang,Inverse 6thgeneration conglomeration,https://picsum.photos/490/854,Closed,5.51,21.54,Port Jillbury,3.7
131,Powers Group,Business-focused 3rdgeneration frame,https://placekitten.com/334/106,Resting,8.23,35.69,Collierport,4.6
132,Wang Bennett and Hopkins,Operative 6thgeneration product,https://dummyimage.com/236x302,Open,3.83,49.06,Huntfurt,4.8
133,Barnett-Daniel,Adaptive neutral moratorium,https://placekitten.com/502/832,Open,7.04,24.45,Laraville,4.4
134,Frank Smith and Cole,Adaptive needs-based parallelism,https://placekitten.com/868/477,Open,5.77,33.39,Michaelville,4.2
135,Obrien-Page,Robust exuding service-desk,https://picsum.photos/215/101,Open,8.16,33.79,West James,4.1
136,Brown Miles and Baker,Fundamental interactive neural-net,https://dummyimage.com/350x382,Closed,6.18,52.07,Lake Kenneth,4.8
137,Hunt and Sons,Programmable even-keeled benchmark,https://picsum.photos/987/1013,Resting,7.72,21.46,East Charles,3.7
138,Carrillo Powell and Hill,Networked user-facing knowledge user,https://picsum.photos/958/284,Open,3.24,15.9,Donaldfurt,4.9
139,Coleman Group,Face-to-face contextually-based framework,https://placekitten.com/837/774,Resting,3.03,33.56,Bautistaport,4.8
140,Lucero and Sons,Open-source asymmetric definition,https://placekitten.com/579/714,Open,7.46,32.95,South Rebeccashire,4.4
141,Ryan Caldwell and Roberts,Switchable scalable service-desk,https://placekitten.com/193/679,Closed,5.01,56.75,East Wesleyton,4.3
142,Hernandez-Gonzales,Digitized zero administration support,https://dummyimage.com/600x707,Resting,4.16,26.78,Lake Joseph,3.3
143,Smith-Mckee,Extended explicit collaboration,https://picsum.photos/735/762,Open,7.05,31.25,South Stephanie,3.7
144,Miller Wright and Casey,Multi-lateral modular service-desk,https://picsum.photos/190/194,Open,6.64,20.65,New Marcushaven,3.3
145,Wang-Myers,Digitized multimedia adapter,https://dummyimage.com/434x240,Closed,2.84,42.23,New Davidborough,3.9
146,Mclaughlin Group,Enterprise-wide asymmetric moderator,https://dummyimage.com/126x66,Resting,6.58,48.08,East Tyler,4.9
147,Johnson Johnson and Lopez,Polarized reciprocal alliance,https://picsum.photos/708/263,Closed,4.58,40.8,East Markhaven,4.7
148,Jones Castro and Willis,Up-sized bandwidth-monitored hardware,https://dummyimage.com/453x784,Resting,3.9,22.79,North Bryan,3.4
149,Anthony-Williams,Upgradable bi-directional emulation,https://dummyimage.com/984x506,Closed,2.22,35.7,West Donaldborough,4.0
150,Scott and Sons,Mandatory leadingedge solution,https://placekitten.com/371/490,Open,4.44,59.12,Powellside,4.4
151,Dillon Price and Johnston,Streamlined full-range middleware,https://placekitten.com/819/994,Resting,4.19,24.88,South Marcusville,4.3
152,Patrick-Coleman,Versatile human-resource protocol,https://picsum.photos/500/267,Resting,5.49,43.23,Port Todd,4.6
153,Young-Parker,Self-enabling cohesive definition,https://placekitten.com/661/316,Closed,4.76,55.85,Port Ashleyberg,3.2
154,Norman-Johnson,Exclusive scalable toolset,https://placekitten.com/883/402,Resting,6.18,28.52,Mariaburgh,4.9
155,Blackwell Williams and Adams,Cross-platform multi-state interface,https://picsum.photos/130/639,Resting,3.61,36.44,Port Robert,3.4
156,Walker-Sparks,Compatible bandwidth-monitored time-frame,https://picsum.photos/657/144,Closed,5.5,38.13,New Stephanie,3.2
157,Ortega LLC,Business-focused neutral focus group,https://placekitten.com/824/673,Closed,7.21,33.84,Anthonyside,3.5
158,Figueroa-Johnson,Ergonomic systematic frame,https://dummyimage.com/842x615,Resting,4.74,19.09,Port Carla,3.4
159,Hodges Ltd,Triple-buffered neutral knowledgebase,https://placekitten.com/550/421,Resting,9.76,39.75,North Cassie,4.2
160,Valdez Inc,Focused national contingency,https://placekitten.com/18/175,Closed,7.4,53.29,East Christopher,4.3
161,Mcclure Massey and Torres,Up-sized scalable framework,https://picsum.photos/984/471,Open,3.25,26.6,Bradleychester,3.3
162,Oliver Salazar and Johnson,Multi-layered interactive extranet,https://dummyimage.com/356x1020,Resting,4.56,50.18,West Christopherfurt,4.5
163,Nelson Inc,Inverse actuating Local Area Network,https://picsum.photos/153/413,Resting,7.67,37.14,South Juliefurt,3.4
164,Smith LLC,Extended motivating moderator,https://picsum.photos/269/572,Open,8.1,35.27,North Robinbury,4.0
165,Chapman Charles and Johnson,Intuitive intangible intranet,https://picsum.photos/59/11,Open,2.31,27.83,Hallhaven,4.4
166,Cunningham Ltd,Implemented full-range portal,https://dummyimage.com/804x705,Open,8.65,19.87,North Jillian,3.3
167,Cummings Group,User-friendly disintermediate strategy,https://picsum.photos/651/437,Open,9.42,51.7,Brownburgh,3.4
168,Thompson Robinson and Davis,Function-based optimal software,https://placekitten.com/94/610,Open,2.82,15.71,East Kimbury,3.2
169,Rodgers-Mccarty,Diverse modular hierarchy,https://placekitten.com/60/819,Open,8.85,54.13,Sanfordborough,4.2
170,Morales LLC,Reduced 24/7 circuit,https://dummyimage.com/725x188,Closed,3.54,24.03,Madelinechester,3.6
171,Henry Ramirez and Burns,Centralized mission-critical standardization,https://picsum.photos/41/75,Closed,5.1,59.88,Port Dakotatown,3.1
172,Salazar Haynes and Ramos,Organized logistical customer loyalty,https://picsum.photos/380/563,Resting,6.13,46.32,Jodyshire,3.9
173,Barnes Inc,Total methodical function,https://picsum.photos/457/440,Closed,5.26,39.37,Lake Nathanfort,5.0
174,Gilbert-Black,Triple-buffered object-oriented budgetary management,https://placekitten.com/889/167,Open,2.74,48.52,Taylorchester,4.3
175,Anderson-Herman,Innovative attitude-oriented implementation,https://placekitten.com/1018/838,Open,7.39,51.1,West Jeffreyberg,4.2
176,Campbell Pruitt and Torres,Cross-group asynchronous utilization,https://placekitten.com/603/127,Resting,8.85,32.89,North Susan,4.7
177,King Stephens and Frazier,Up-sized multi-state productivity,https://placekitten.com/289/411,Open,3.05,45.11,North Chelsea,3.1
178,Taylor Group,Multi-channeled object-oriented toolset,https://picsum.photos/855/854,Open,8.71,16.15,South Kellystad,5.0
179,Ortega-Hughes,Multi-lateral solution-oriented contingency,https://placekitten.com/663/234,Resting,6.72,42.11,West Michellemouth,4.0
180,Greer-Miller,Exclusive responsive circuit,https://placekitten.com/425/252,Resting,7.38,55.53,Geraldchester,3.1
181,Young Randolph and Miller,Vision-oriented full-range access,https://placekitten.com/49/403,Resting,2.48,24.77,Jayview,3.6
182,Munoz-Alvarez,Automated global circuit,https://placekitten.com/250/426,Resting,8.37,24.8,South Stevenside,4.7
183,Stewart LLC,Optimized analyzing superstructure,https://picsum.photos/50/226,Resting,3.85,39.05,West Victoriafort,4.0
184,Sanders Brown and Armstrong,Ergonomic 6thgeneration monitoring,https://picsum.photos/560/148,Closed,6.13,59.96,North Stacey,4.3
185,Green-Black,Future-proofed full-range projection,https://placekitten.com/656/465,Closed,2.44,50.89,Hoodstad,3.9
186,Gallegos-Yates,Horizontal disintermediate application,https://picsum.photos/993/177,Closed,4.55,32.71,Kristopherborough,3.2
187,Anderson LLC,Down-sized maximized open architecture,https://dummyimage.com/342x768,Closed,8.4,45.12,New Zachary,4.1
188,Miller Brooks and Soto,Persistent directional encoding,https://placekitten.com/36/26,Open,8.55,49.0,Jennifermouth,4.4
189,Gonzalez-Delacruz,Re-contextualized regional utilization,https://placekitten.com/810/320,Resting,6.71,45.03,Mcclainland,3.7
190,Prince-Ortega,Polarized client-driven access,https://dummyimage.com/833x393,Open,2.14,43.58,Obrienberg,4.4
191,Jackson and Sons,Secured eco-centric framework,https://placekitten.com/801/155,Closed,3.11,32.3,Greerberg,3.4
192,Wilson LLC,Mandatory well-modulated database,https://picsum.photos/741/181,Resting,9.2,42.0,Port Amber,4.7
193,Ross-Neal,Fully-configurable impactful forecast,https://picsum.photos/413/495,Open,3.79,44.65,Taylorfurt,4.8
194,Scott Smith and Davis,Organic national initiative,https://picsum.photos/676/879,Closed,3.08,47.37,Port Jessicaberg,4.0
195,Oconnor Ltd,Cross-platform tangible implementation,https://dummyimage.com/879x110,Closed,5.37,42.55,Stacyport,3.0
196,Smith-Graham,Digitized system-worthy encoding,https://picsum.photos/172/442,Open,5.93,59.03,New Rogermouth,5.0
197,Griffin Romero and Clark,Optional maximized model,https://placekitten.com/17/866,Open,6.15,42.59,Hudsonchester,4.0
198,Harmon and Sons,Fully-configurable 24/7 budgetary management,https://picsum.photos/249/475,Open,6.63,37.69,Port Julie,3.0
199,Hamilton-Frazier,Synchronized asymmetric intranet,https://placekitten.com/116/952,Open,2.78,20.13,Howellstad,4.4
200,Cook Grant and Chapman,Sharable solution-oriented implementation,https://dummyimage.com/902x425,Resting,8.94,49.83,New Jodiland,4.6
201,Aguirre Ltd,Versatile next generation alliance,https://picsum.photos/352/24,Resting,6.9,17.67,Moorebury,4.8
202,Smith Frazier and Andrews,Profit-focused impactful middleware,https://picsum.photos/328/937,Open,6.31,26.08,Veronicaport,4.5
203,Casey-Williams,Progressive methodical groupware,https://picsum.photos/546/939,Closed,2.57,17.84,Maryport,5.0
204,Fernandez LLC,Mandatory tangible core,https://dummyimage.com/298x812,Open,2.26,26.48,Port Kristopherfort,4.3
205,Underwood Harrell and Watts,Advanced demand-driven benchmark,https://picsum.photos/906/472,Resting,2.87,52.56,Pricemouth,4.7
206,Christian Yates and Murillo,Stand-alone 4thgeneration hierarchy,https://dummyimage.com/814x442,Closed,6.03,54.53,Daniellemouth,4.8
207,Davis Group 2,Up-sized leadingedge policy,https://picsum.photos/142/596,Resting,9.87,16.97,Carrland,4.0
208,Flores PLC,Persistent 24/7 synergy,https://dummyimage.com/1019x717,Closed,2.88,32.27,Collinsview,3.3
209,Smith PLC,Business-focused methodical monitoring,https://dummyimage.com/976x959,Closed,3.41,43.49,Glenshire,4.5
210,Salinas-Thomas,Optimized user-facing info-mediaries,https://dummyimage.com/591x606,Open,3.61,24.49,Taylorberg,3.6
211,Gonzalez and Sons,Proactive maximized framework,https://dummyimage.com/700x529,Closed,5.15,15.98,Port Erintown,3.9
212,Hernandez-Morrow,Secured hybrid utilization,https://placekitten.com/746/514,Resting,2.22,40.38,New Rileystad,4.0
213,Bryant PLC,Implemented client-server firmware,https://placekitten.com/510/987,Open,8.8,15.61,Lake Chelseymouth,3.6
214,Clark LLC 2,Optional optimizing frame,https://dummyimage.com/374x781,Closed,8.9,31.47,Lake Eileenfurt,3.9
215,Carlson-Burns,Diverse 4thgeneration alliance,https://picsum.photos/960/719,Open,4.39,58.45,Alexandershire,4.9
216,Odom-Townsend,Implemented tertiary firmware,https://picsum.photos/97/611,Resting,5.18,24.75,East Maryland,4.5
217,Jordan-Kerr,De-engineered systemic intranet,https://dummyimage.com/497x887,Open,8.89,24.95,New Earl,4.5
218,Mueller-Sandoval,Pre-emptive exuding product,https://picsum.photos/639/680,Open,8.02,15.18,Dominguezberg,3.8
219,Norton Diaz and Roman,Diverse optimizing complexity,https://picsum.photos/821/944,Resting,2.46,15.33,South Sherri,5.0
220,Bell Brooks and Reed,Multi-layered 6thgeneration infrastructure,https://placekitten.com/861/70,Open,3.45,34.33,West Michaelchester,4.0
221,Calderon-Smith,Robust cohesive monitoring,https://placekitten.com/64/872,Closed,4.06,51.3,Ericksonstad,3.9
222,Frank PLC,Intuitive tertiary analyzer,https://placekitten.com/251/453,Open,6.77,41.85,New Gregorychester,4.7
223,Smith-Bridges,Vision-oriented needs-based functionalities,https://dummyimage.com/58x876,Resting,2.85,59.62,New Amberport,3.4
224,Rivera Lopez and Orozco,Versatile transitional middleware,https://placekitten.com/231/446,Open,9.74,54.38,Griffinburgh,4.8
225,Ball Ashley and Travis,Multi-lateral 6thgeneration Graphical User Interface,https://placekitten.com/180/66,Closed,4.55,29.75,Lake Eric,4.4
226,Alexander-Logan,Realigned holistic approach,https://picsum.photos/702/98,Closed,9.78,52.8,East Ginamouth,3.6
227,Smith-Hobbs,Robust neutral contingency,https://picsum.photos/171/970,Resting,9.83,47.56,Jamesview,4.8
228,Farmer Ltd,Customer-focused multi-tasking focus group,https://picsum.photos/835/673,Closed,9.2,17.94,West Timothytown,4.6
